Jurisdictions,Total Households,MedianHouseholdIncome,Families,PercentFamiliesinPoverty,Male,Female,WhiteAlone,BlackAlone,AsianAlone,IndianAlaskaNativeAlone,NativeHawaiianPacificIslanderAlone,SomeOtherRaceAlone,TwoOrMoreRaces,HispanicOrLatino
Allegany County,28167,41559,17157,11.2,38077,34983,64695,6021,580,118,34,167,1445,1233
Anne Arundel County,204829,91918,142363,3.9,276842,282895,416331,89001,20103,1222,383,12470,20227,39402
Baltimore County,312826,68989,203891,6.1,391102,434564,519063,226879,47772,2110,394,7828,21620,40850
Calvert County,31479,96808,23705,3.4,44966,45561,73873,11124,1371,77,0,530,3552,3092
Caroline County,12010,50830,8619,13.2,15822,16831,26419,4411,187,30,16,623,967,2101
Carroll County,60449,87060,44606,3.4,82892,84643,155174,5538,2734,306,57,552,3174,5096
Cecil County,36993,67938,26123,7.3,50603,51572,90516,6847,1367,245,42,962,2196,4087
Charles County,54105,91373,39377,5.8,74489,79868,73744,65796,4760,1026,162,1169,7700,7939
Dorchester County,13206,47907,8773,12.8,15519,16932,21527,9101,352,27,0,567,877,1516
Frederick County,88995,85715,64219,4.8,120072,123393,197960,22196,10701,646,146,4187,7629,20485
Garrett County,11644,46277,8177,9,14701,14976,28842,187,93,45,6,15,489,301
Harford County,92497,81052,66516,5.8,122076,127700,199268,33742,6478,443,8,2806,7031,10208
Howard County,109872,113800,82123,3.5,151100,157347,183599,56504,51545,499,132,4356,11812,19595
Kent County,7683,55028,4654,6.6,9539,10280,16302,2949,207,36,0,24,301,870
Montgomery County,367764,100352,256128,4.7,494612,531759,566239,182774,149770,2857,503,81619,42609,190550
PGCounty,306711,75925,202160,6.9,431752,465941,173881,570138,38063,3449,269,86885,25008,150268
Queen Anne's County,17785,85891,13162,4.4,24151,24561,43698,3522,364,39,24,272,793,1668
St. Mary's County,38978,86810,27876,5.4,55176,55499,87669,15568,2964,217,31,616,3610,5136
Somerset County,8328,35886,5147,20.6,13936,11963,13719,10837,269,69,14,384,607,937
Talbot County,16481,61395,11001,6.9,17733,19935,31262,4172,525,79,38,348,1244,2298
Washington County,56094,56316,37610,9.7,76043,73528,124903,15402,2383,313,69,1040,5461,6283
Wicomico County,37170,53508,24539,10.5,48364,53163,69094,25001,3232,214,64,979,2943,4968
Worcester County,21010,57227,13421,7.7,24999,26442,42568,7056,727,80,58,122,830,1726
Baltimore city,242416,44262,124615,18.3,292168,328832,187894,391160,15712,1799,342,10065,14028,29537
